AffiliationID,ProviderID,ProviderAffliated,ProviderAffiliationName,ProviderAffiliationType,ProviderAffiliationStartDate,ProviderAffiliationEndDate
8f83fbca-c93e-48c6-8133-a05ba3a37777,9cce144a-a1e2-4d09-b5c5-6af3c93c2ef3,Yes,Newark General Hospital,Hospital,2016-06-07,2020-01-11
6e71fbb5-544f-463f-a748-3148c54cc586,6de87d10-a676-40a6-8f74-fe5f86a68327,Yes,Trinitas Regional Medical Center,Clinic,2016-08-25,2021-12-16
c034a264-32c8-45aa-9276-5f53058820e4,b1f9f8b9-d074-4bde-9de1-56ee5f807ded,Yes,Hackensack Medical Affiliates,Clinic,2023-03-03,2025-07-02
c7a7fe27-bb99-4cb5-bf2b-91ae23561274,22f83106-4e2d-4c64-8d94-af4b260aaa4f,Yes,Atlantic Health System,Clinic,2015-12-16,2017-03-28
2d7f3ecd-5f41-409f-a04a-fd7b3209260f,70e78c27-6acc-4f4e-b68e-d6a19e4df317,Yes,RWJBarnabas Health,Clinic,2018-08-26,2020-12-27
adb02103-9e9c-44d4-9968-154ead0b1c42,ec794cf5-db73-495c-b537-9f04a4838730,Yes,Newark General Hospital,Clinic,2019-11-12,2023-06-06
d99e129d-a16f-486a-a8c3-ded0bf86afb7,0771df48-3857-48af-8640-516b3af6ef00,Yes,Saint Mary's Medical Center,Hospital,2016-02-09,2020-10-01
ff94a5c5-c261-498e-93ed-e70214254aab,8b56088e-3c02-429e-b522-586325be2907,Yes,Trinitas Regional Medical Center,Hospital,2018-06-02,2025-07-02
73c8d8f4-7d7f-49bc-943b-d1cb5c579630,0d3f7937-cc5a-4d6f-83b9-4e07cdc35479,Yes,Hackensack Medical Affiliates,Hospital,2024-02-16,2025-07-02
f8790bc3-7a79-4815-a72f-751324a34cc5,d075e02a-594b-4d20-ad16-fb60423c3498,Yes,Saint Mary's Medical Center,Clinic,2018-10-01,2019-12-15
279e6ffb-66af-4597-9da4-73e134bdcf00,405cb933-321d-435a-92cf-3d95f160f3dc,Yes,Atlantic Health System,Health System,2021-05-13,2025-07-02
59f8f843-ea55-4f27-bc42-be10d9df8239,40993c5a-fcc2-4818-a7be-96b4b22239ec,Yes,Jersey Shore Hospital,Hospital,2023-10-06,2025-07-02
c2d41f81-f51e-49e5-8e9f-f0d8ab60ffc8,b51b3ebc-1c24-4efd-8020-60b6f42fdf8d,Yes,Jersey Shore Hospital,Health System,2019-02-26,2024-05-19
ef2603a0-9e70-4bf4-8278-765c7082fda8,df0d3f76-78c9-453f-b23a-d61d895a7b8a,Yes,Atlantic Health System,Clinic,2018-07-02,2023-03-04
fba3f783-3ad8-4954-911d-2078adf0c9b2,85473c77-2574-44b8-b979-114e5107f22a,No,,,,
b8e06fd0-9fe5-46af-ba59-867f9ac4d5f9,f5aa8ddf-9655-43aa-ab30-e0172eea0828,Yes,Trinitas Regional Medical Center,Medical Group,2020-02-09,2025-07-02
c9c9eb7e-df2a-4491-83f5-c0c6223026c6,ecf652f9-46ca-497a-88e5-a2042b76f9a2,Yes,Trinitas Regional Medical Center,Hospital,2016-11-27,2019-08-14
11a56b89-bce9-49a6-a38f-86db3373d8a2,58eab510-fcba-4b11-8292-ff57f85b240b,Yes,Princeton Health Group,Health System,2022-01-19,2025-07-02
0059234f-1ad1-43f7-889d-27b7bbc217cd,03d8303d-b678-4220-a8d7-f0d3863e9fe0,Yes,Hackensack Medical Affiliates,Medical Group,2016-04-21,2017-09-22
163d2bfd-a8ec-4436-ac33-815cf87d1790,80069fb2-8c38-42a5-8488-01f7b93bd013,Yes,Saint Mary's Medical Center,Hospital,2022-01-26,2025-07-02
9735883d-b6f9-4ffb-9413-be90604fed32,405e62cc-620e-482c-a26b-470e25687be3,Yes,Princeton Health Group,Clinic,2019-04-26,2025-07-02
b9d2910d-46b9-45b3-ac00-e3e47c472a11,3bdec61b-b1d7-4f6d-bc5f-8a873bb6eced,Yes,Princeton Health Group,Health System,2016-01-17,2017-09-30
080c8831-14d5-4886-8a63-1692b68a2aa2,aebb84d3-5c79-4921-ae0a-4e6dd3fae96d,Yes,Hackensack Medical Affiliates,Clinic,2020-01-28,2025-05-13
6302caa1-6147-439a-8a37-34794b8998dd,c4fe0c44-1ce7-431f-830b-0ffd5ef44067,Yes,Princeton Health Group,Clinic,2022-02-10,2025-07-02
db8c5bb9-bece-47d6-9841-6ec22373658c,3a74387c-cade-4433-8bd3-157412b302a8,Yes,Hackensack Medical Affiliates,Hospital,2015-08-28,2016-12-17
ef1f6768-10b4-429c-8e13-695b790f5993,e46571fe-07e4-45a6-893d-f07cd9dd9117,No,,,,
0395bbbc-c518-4708-81d5-9e21812b5cf2,7ef37887-1877-4be9-86f2-c6fceca52d5a,Yes,Princeton Health Group,Hospital,2018-09-09,2020-01-18
8f15c66e-41ae-4593-ae3b-86c6f41dbc4b,58983713-d051-4e41-98b9-1ad68d3d9522,No,,,,
effcf73a-046b-48eb-a6b4-942976173bf0,a5bab3fc-694f-4dc5-85b1-05a5ad78a7af,Yes,Saint Mary's Medical Center,Hospital,2018-09-21,2025-07-02
