CertificationID,ProviderID,ProviderBoardCertified,ProviderCertificateIssueDate,ProviderCertificateExpiryDate,ProviderDegree,ProviderBoardName,ProviderYearsOfExperience
805a3469-c887-42ef-bd04-0e31f8a98d2a,9cce144a-a1e2-4d09-b5c5-6af3c93c2ef3,No,2014-01-31,,MD,American Board of Pediatrics,57
f1c78479-7257-48a6-9762-3a0a56f9e7cb,6de87d10-a676-40a6-8f74-fe5f86a68327,Yes,2015-06-16,2017-06-06,MBBS,American Board of Internal Medicine,75
cc9d13fe-32dd-41b9-aebc-65a96c72ddee,b1f9f8b9-d074-4bde-9de1-56ee5f807ded,Yes,2018-03-12,,MBBS,American Board of Internal Medicine,62
c9714085-573c-4f2b-8b5e-6da3a7a2d89b,22f83106-4e2d-4c64-8d94-af4b260aaa4f,No,2016-01-03,,DO,American Board of Obstetrics and Gynecology,77
6ce657fe-d724-4e67-80cd-349aae1d86a5,70e78c27-6acc-4f4e-b68e-d6a19e4df317,No,2014-11-25,,MBBS,American Board of Obstetrics and Gynecology,44
48bddc6f-5afb-40ff-ade9-6cf56578eb65,ec794cf5-db73-495c-b537-9f04a4838730,No,2010-05-28,,DO,American Board of Surgery,72
4fc7e30f-2bfe-4433-8baa-813d6a6254ed,0771df48-3857-48af-8640-516b3af6ef00,Yes,2024-06-02,,MCh,American Board of Obstetrics and Gynecology,77
7d8b9fc1-a44c-4ad3-899a-e3eaa0fe4288,8b56088e-3c02-429e-b522-586325be2907,No,2007-01-05,,MBBS,American Board of Surgery,25
2af722ba-eb02-4c93-b6f1-f27cb09e1ff6,0d3f7937-cc5a-4d6f-83b9-4e07cdc35479,No,2006-05-16,,PhD,American Board of Pediatrics,46
b8deee54-6108-40e5-bc94-27133030bcac,d075e02a-594b-4d20-ad16-fb60423c3498,Yes,2024-01-22,2025-01-11,DO,American Board of Internal Medicine,44
6276178c-f7f0-4ebc-90c6-4bcca2062e1a,405cb933-321d-435a-92cf-3d95f160f3dc,No,2007-07-15,,PhD,American Board of Psychiatry and Neurology,79
c4e9378d-2e2a-4c86-8be3-3666fbe218ec,40993c5a-fcc2-4818-a7be-96b4b22239ec,Yes,2013-04-03,,MBBS,American Board of Internal Medicine,42
be0d10b7-6203-45e2-8df9-3f004441d5bf,b51b3ebc-1c24-4efd-8020-60b6f42fdf8d,No,2022-10-08,,PhD,American Board of Pediatrics,64
015ea369-bd51-42b1-951a-07501cdc6813,df0d3f76-78c9-453f-b23a-d61d895a7b8a,No,2014-08-19,,DO,American Board of Psychiatry and Neurology,53
efa42e7b-94e4-4fff-97e4-5f7836d5dc92,85473c77-2574-44b8-b979-114e5107f22a,Yes,2024-04-05,,MCh,American Board of Pediatrics,55
ba6000aa-1985-48db-b840-d75f0d4261d7,f5aa8ddf-9655-43aa-ab30-e0172eea0828,No,2019-06-07,,DO,American Board of Psychiatry and Neurology,32
2825e9d0-5b15-4e56-96d0-e059b5f76742,ecf652f9-46ca-497a-88e5-a2042b76f9a2,No,2014-07-11,,PhD,American Board of Internal Medicine,50
513c58c3-dbd1-4fa8-a7ed-2197fff1b920,58eab510-fcba-4b11-8292-ff57f85b240b,Yes,2017-04-30,,MBBS,American Board of Internal Medicine,57
38601cc3-b031-423a-a3c2-c78a02dbe91f,03d8303d-b678-4220-a8d7-f0d3863e9fe0,No,2018-02-25,,PhD,American Board of Pediatrics,52
2594c1f9-697d-4d14-9ade-dabdb646b0b9,80069fb2-8c38-42a5-8488-01f7b93bd013,Yes,2010-08-12,,PhD,American Board of Pediatrics,78
52245518-f47e-428a-9cf0-0c0aea77db6e,405e62cc-620e-482c-a26b-470e25687be3,No,2008-03-25,,PhD,American Board of Internal Medicine,57
a4bd3e60-e207-4b20-9f8b-f2f6a7de489a,3bdec61b-b1d7-4f6d-bc5f-8a873bb6eced,Yes,2015-06-19,,PhD,American Board of Pediatrics,40
62fdefdf-4a9a-4627-b892-8ee87f3c904c,aebb84d3-5c79-4921-ae0a-4e6dd3fae96d,Yes,2023-11-06,,PhD,American Board of Obstetrics and Gynecology,67
4a23c7e5-7c64-4346-8f4c-641fc2c36c22,c4fe0c44-1ce7-431f-830b-0ffd5ef44067,No,2015-12-04,,MCh,American Board of Surgery,75
85623819-547c-44d4-a4dd-e19a27b5daa0,3a74387c-cade-4433-8bd3-157412b302a8,No,2019-12-20,,PhD,American Board of Obstetrics and Gynecology,67
67bdd113-0aae-4021-a7dd-7f1991a45dc4,e46571fe-07e4-45a6-893d-f07cd9dd9117,Yes,2009-09-08,,MD,American Board of Internal Medicine,44
571c73b7-5a99-4ebe-a82e-4c823d7d3d58,7ef37887-1877-4be9-86f2-c6fceca52d5a,Yes,2010-10-01,2020-11-14,MCh,American Board of Internal Medicine,55
61195cc2-cc75-4c0d-84c4-d6c229f4a99e,58983713-d051-4e41-98b9-1ad68d3d9522,Yes,2014-02-03,,PhD,American Board of Psychiatry and Neurology,69
