InsuranceRecordID,ProviderID,LocationID,ProviderInsuranceID,ProviderInsuranceName,ProviderPlanID,ProviderPlanName,ProviderNetworkType,ProviderPlanStartDate,ProviderPlanEndDate,ProviderContractStatus
ad2fb67f-e607-48eb-8d6c-f259a5b1d50e,9cce144a-a1e2-4d09-b5c5-6af3c93c2ef3,167bb7b0-e9ee-492e-ada1-7d60fab3ba3d,33c02756-6eaf-40c4-81cd-4a3fbef749fb,Kaiser Permanente,cdd92ccf-555a-4a40-8699-6e2ae59e6f61,"{""EPO/EPO PLUS"",""ADVANTAGE EPO HSA NJPA"",""ADVANTAGE EPO NJPA""}",Out of Network,2023-04-10,2023-08-14,Pending
6fc1c514-9b62-4847-81d6-695a8d369936,6de87d10-a676-40a6-8f74-fe5f86a68327,33b0430e-9bc8-43c8-907f-611829906882,d253472a-65c8-435a-a722-6b12100a48ff,Blue Cross,23993e04-bbd7-4ea8-97b5-c8e58f003fd0,"{""DIRECT ACCESS"",""CWA UNITY DIRECT""}",In Network,2022-07-14,2024-02-22,Pending
f83f109f-442b-4229-bbf1-63888f0d8693,b1f9f8b9-d074-4bde-9de1-56ee5f807ded,65505164-f173-4215-9e54-b82ebe8f18c9,ba5d9b95-b1d6-4405-9dc6-db822919523c,Humana,13c05343-35a1-485e-a11f-7c988e44b538,"{""CWA UNITY DIRECT"",""ADVANTAGE EPO HSA NJPA""}",Out of Network,2023-06-25,2023-08-12,Terminated
c8feadd8-ad4d-458a-aaf1-70b9364b5dd7,22f83106-4e2d-4c64-8d94-af4b260aaa4f,49c2ed3d-004f-4ad8-a8b9-6af723074b57,4bf09996-9482-40e7-ac60-2f5325a384cc,Kaiser Permanente,fa4ea870-2765-4c3f-9a0d-68f555cd60b2,"{""DIRECT ACCESS"",""ADVANTAGE EPO HSA NJPA"",""ADVANTAGE EPO WITH BLUEHPN""}",In Network,2023-05-18,2023-11-23,Terminated
5e561fad-87ec-4b2d-8922-2d2441792805,70e78c27-6acc-4f4e-b68e-d6a19e4df317,153f4678-0591-471f-b758-48e139d0da4b,387b6846-a76a-4e1e-a83e-693a61f14bfb,Cigna,92ca71f7-ecf1-40c6-9017-92df95bf51d3,"{""ADVANTAGE EPO HSA NJPA"",""ADVANTAGE EPO"",""CWA UNITY DIRECT""}",In Network,2024-06-24,2025-04-14,Active
2030c0f4-5383-40d5-aca0-6644769acfd2,ec794cf5-db73-495c-b537-9f04a4838730,08a39d51-7bfc-4724-94fc-c457ea6efe58,08d54a75-e1dd-49ee-bee7-e2e8461bf946,Kaiser Permanente,764fab7d-98bf-4ce1-b8bf-f559ee079e6f,"{""CWA UNITY DIRECT"",""ADVANTAGE EPO"",""EPO/EPO PLUS""}",Out of Network,2023-01-06,2024-11-15,Pending
69966391-7989-4e03-8253-847bb5e2c881,0771df48-3857-48af-8640-516b3af6ef00,6783c1e6-d00b-4d42-9c97-66721404f85c,0ac4bd9e-fdbd-43ef-abcc-3f9e7be8e5c9,Kaiser Permanente,d380ed1b-7577-4d50-9baa-ef6541e26db7,"{""EPO/EPO PLUS""}",In Network,2025-05-02,2025-06-17,Terminated
c4239870-0ac8-4626-a0cf-bb78e4438045,8b56088e-3c02-429e-b522-586325be2907,0457e113-2c74-46f7-9175-783d31226064,9330148e-02ca-431c-8af3-27418b7aa781,Kaiser Permanente,c4812fe5-9f6a-4cde-b252-3a4e75437b06,"{""ADVANTAGE EPO WITH BLUEHPN"",""ADVANTAGE EPO HSA NJPA"",""ADVANTAGE EPO NJPA""}",Out of Network,2023-06-04,2024-07-10,Pending
edd6426d-f269-4a03-9fd2-8abbc9d15996,0d3f7937-cc5a-4d6f-83b9-4e07cdc35479,3d2c241b-4abb-4808-9f70-93079132771f,edafe922-e14f-4823-8fee-a774d760434f,Humana,a159d55e-b47b-46b0-82e5-5342e8cb0fd3,"{""DIRECT ACCESS"",""EPO/EPO PLUS""}",Out of Network,2023-02-28,2024-06-05,Terminated
afda7a51-57ad-4dbb-b924-b847016b9320,d075e02a-594b-4d20-ad16-fb60423c3498,0192e1e2-3b90-4773-955b-9f3f5b2af722,496c654a-a6a6-4f32-9d5d-ae3718ec70c2,United Healthcare,88bdf93c-943c-4ef1-8f28-30688d60e786,"{""ADVANTAGE EPO NJPA"",""ADVANTAGE EPO NJ"",""DIRECT ACCESS""}",In Network,2023-10-01,2023-12-22,Pending
1e5be3c2-e1df-4cc1-9ea6-d79af7716867,405cb933-321d-435a-92cf-3d95f160f3dc,48eddcb0-04c4-4e46-89d0-60cdc9569b6e,3ecaf20f-cd5b-4999-b4f0-53a326ebb4f6,Kaiser Permanente,ff48da8e-eb54-4ef4-b117-39856f80649f,"{""DIRECT ACCESS"",""EPO WITH BLUEHPN""}",Out of Network,2024-11-10,2024-12-20,Pending
07995274-9aa1-4caf-abc0-ac47c5b16e2a,40993c5a-fcc2-4818-a7be-96b4b22239ec,5cbd6fe5-5f2f-464c-a1ee-31198f0918df,f93259f6-0efa-4bf4-a204-4d4531b98bd8,Humana,709f1063-c7f3-40e8-bedd-ab7c8df79ef7,"{""ADVANTAGE EPO NJ""}",Out of Network,2023-12-05,2024-02-08,Active
6404cdde-6b1a-480f-aac2-68e2a32f3489,b51b3ebc-1c24-4efd-8020-60b6f42fdf8d,8688fe2d-1cc0-4e45-8dbb-20f37e776bcd,c61c341f-a4c2-40e3-8595-968765356506,Kaiser Permanente,0995e07a-1e81-4463-a9e2-323bd938b053,"{""EPO/EPO PLUS"",""ADVANTAGE EPO WITH BLUEHPN"",""ADVANTAGE EPO HSA NJPA""}",In Network,2023-09-17,2023-09-20,Active
18aa91dd-956f-44e7-8a68-20bf40ebdab8,df0d3f76-78c9-453f-b23a-d61d895a7b8a,af40cc44-3651-44a4-9e17-a4da971b677a,beda74ea-73f6-487b-b780-a0ecc487029f,Cigna,3bcac081-2a5c-41dc-a047-8609bb391462,"{""ADVANTAGE EPO WITH BLUEHPN"",""ADVANTAGE EPO"",""EPO WITH BLUEHPN""}",In Network,2023-05-20,2024-08-10,Active
bb85e503-d4f9-46c2-88f2-8141c027ffe6,85473c77-2574-44b8-b979-114e5107f22a,9234d60c-4b9e-4a23-9921-9210663a721b,7fc5cc85-d9e0-4f3d-af6f-ae69d7c4f1f4,United Healthcare,8fe7a236-ac50-417a-954b-9662d3160144,"{""DIRECT ACCESS"",""ADVANTAGE EPO WITH BLUEHPN""}",In Network,2024-04-15,2025-04-27,Pending
7324a63f-28b5-437f-9c38-71499cafd9b4,f5aa8ddf-9655-43aa-ab30-e0172eea0828,f55f3214-e4f8-4cbb-9b0d-be8a904f48ef,05546074-a50a-42aa-a819-e81d0e1647ab,Kaiser Permanente,e92501a4-f578-42b2-997d-820a140b0007,"{""ADVANTAGE EPO WITH BLUEHPN""}",In Network,2025-01-30,2025-06-30,Active
8f7d5341-06e2-4149-b51a-a1d2bf698e02,ecf652f9-46ca-497a-88e5-a2042b76f9a2,def4105b-d653-4084-bce8-b7501ae454e5,78130208-3fd1-465a-a3c1-8a8302953318,Kaiser Permanente,ebe4c756-e589-463e-850f-e623a4c3aedd,"{""EPO/EPO PLUS"",""EPO WITH BLUEHPN""}",In Network,2024-01-12,2024-07-25,Active
62c143dd-29d5-42d0-88d2-8da09eebf0d8,58eab510-fcba-4b11-8292-ff57f85b240b,b66c4d5b-896e-498d-adb8-8e4e4037d848,1da0cff1-864e-4868-ae61-0797d96a93a9,Blue Cross,fc9ea128-563f-4575-a42a-9017f247ea45,"{""ADVANTAGE EPO HSA NJPA""}",Out of Network,2024-07-06,2024-11-19,Active
d10d3388-0812-448c-abec-ae17951da83e,03d8303d-b678-4220-a8d7-f0d3863e9fe0,b1fa416e-358c-4b34-800c-af86a793c255,9d69b216-89d5-47a9-9544-ebd316bec389,United Healthcare,97cd68f7-c15e-4cbd-9cc6-96dad6bbfae2,"{""ADVANTAGE EPO WITH BLUEHPN""}",In Network,2024-01-25,2025-02-14,Terminated
bae0e56b-aa9a-4a52-a261-8f24fe1d8081,80069fb2-8c38-42a5-8488-01f7b93bd013,c304b82b-74e9-4b9d-8857-42bdb1086c39,f42d8627-c1c1-4bb0-ad18-bf66b2ac04af,Aetna,805fb54e-c666-4062-8bc7-f7a5a8191f90,"{""DIRECT ACCESS"",""ADVANTAGE EPO NJ"",""EPO WITH BLUEHPN""}",In Network,2024-02-28,2024-05-07,Pending
6f161cc8-0a02-4092-8575-f3b79369665a,405e62cc-620e-482c-a26b-470e25687be3,fbbc1ada-f039-4851-ac93-1fea2784c1a7,a69b6c1b-9a6e-46e9-92cd-556b3fc74b80,Kaiser Permanente,a58c548b-9058-4838-b4b6-6fd358309cdb,"{""ADVANTAGE EPO NJPA"",""DIRECT ACCESS""}",In Network,2022-10-29,2023-02-12,Terminated
7d221920-c3ab-4ccd-b8b9-0a5b38fcfc23,3bdec61b-b1d7-4f6d-bc5f-8a873bb6eced,00a3a076-4c1f-4632-adf4-05cc848ba6f5,10864ed4-f291-404b-99d7-51efa7851b33,Humana,8c2ecd4c-8efa-4c52-b369-97de1e73b8e1,"{""CWA UNITY DIRECT""}",Out of Network,2023-02-17,2025-02-25,Terminated
078ee7bf-d193-440e-97c3-dc9b5775d71d,aebb84d3-5c79-4921-ae0a-4e6dd3fae96d,3807b911-c3ba-4967-b44d-d34eb3138ee9,5b72caeb-af73-4e85-8315-aaf9e037ee1f,United Healthcare,845397a1-e84d-4175-83d6-c4b24d3569e7,"{""ADVANTAGE EPO""}",In Network,2024-04-14,2025-05-27,Terminated
a5267c91-6914-4220-8d3d-c6e7f2326552,c4fe0c44-1ce7-431f-830b-0ffd5ef44067,3ea30048-3727-4d14-9550-3e9fa84206c4,fa37063c-2c85-4d49-8d62-c499557672f0,Aetna,1a4a2b4d-0283-4e85-8d0e-b5e8ff2672c8,"{""EPO WITH BLUEHPN""}",Out of Network,2023-10-14,2025-02-10,Active
4b96b311-4d67-4a6c-a567-005ac030cb83,3a74387c-cade-4433-8bd3-157412b302a8,bfc4fe60-9d28-4a38-8092-15da3eca12ef,75f4fae6-80ee-48d2-8f26-a80de9d6fc1f,Kaiser Permanente,310b1d64-6fcc-4721-acc7-481bc4158657,"{""CWA UNITY DIRECT"",""ADVANTAGE EPO""}",In Network,2024-02-16,2025-05-04,Terminated
9ad7579a-951d-4af2-818c-bce823358d27,e46571fe-07e4-45a6-893d-f07cd9dd9117,4d16a1c8-9a63-47d3-bbc7-dcda4ecd046e,37306b32-5852-41ba-9c9f-e427135020c3,Blue Cross,635df972-5a6f-4169-9908-e5d0b374c558,"{""EPO/EPO PLUS"",""ADVANTAGE EPO NJPA"",""ADVANTAGE EPO HSA NJPA""}",In Network,2023-02-19,2024-11-29,Terminated
