SpecialityID,ProviderID,ProviderSpecialityCode,ProviderSpecialityType,ProviderSpecialityName,ProviderSpecialityStartDate,ProviderSpecialityEndDate
3689dcbc-ebb5-4708-9381-bfec131dcd2e,9cce144a-a1e2-4d09-b5c5-6af3c93c2ef3,207Q00000X,Primary,Family Medicine,2024-12-10,9999-12-31
b7549461-fa70-48a2-ac19-1dc34fc16146,6de87d10-a676-40a6-8f74-fe5f86a68327,208D00000X,Secondary,General Practice,2018-05-22,9999-12-31
eebff92c-7e7a-40d9-831f-8eb8bffae617,b1f9f8b9-d074-4bde-9de1-56ee5f807ded,207N00000X,Primary,Pediatrics,2019-01-13,9999-12-31
676da274-0b5f-48e0-a15a-16494d90c775,22f83106-4e2d-4c64-8d94-af4b260aaa4f,207V00000X,Primary,Obstetrics & Gynecology,2022-09-19,9999-12-31
2417fc87-ea38-42d5-ba92-883a8b3ffa1d,70e78c27-6acc-4f4e-b68e-d6a19e4df317,208C00000X,Secondary,Cardiology,2021-10-30,9999-12-31
02173a55-dcba-44c8-abb9-6df1b0453e76,ec794cf5-db73-495c-b537-9f04a4838730,207Q00000X,Primary,Family Medicine,2023-12-22,9999-12-31
610f14c0-862d-4851-8d57-9feb74b0134c,0771df48-3857-48af-8640-516b3af6ef00,208Z00000X,Secondary,Geriatric Medicine,2018-03-24,9999-12-31
6312054b-d78a-4a39-9bf3-335a2b32d24a,8b56088e-3c02-429e-b522-586325be2907,207R00000X,Primary,Internal Medicine,2021-03-02,9999-12-31
53d665bb-9ee0-4178-aa9d-75bdd33c5b8b,0d3f7937-cc5a-4d6f-83b9-4e07cdc35479,208Z00000X,Secondary,Geriatric Medicine,2017-01-14,9999-12-31
a1fad7e0-d2bf-4f04-966c-2f0334043d97,d075e02a-594b-4d20-ad16-fb60423c3498,208C00000X,Secondary,Cardiology,2024-10-06,9999-12-31
c7c8065d-a544-4a43-8575-0484ef389cb1,405cb933-321d-435a-92cf-3d95f160f3dc,208D00000X,Secondary,General Practice,2019-04-23,9999-12-31
80dc5c78-c8b2-45aa-9443-88d571d5a917,40993c5a-fcc2-4818-a7be-96b4b22239ec,207N00000X,Primary,Pediatrics,2024-04-12,9999-12-31
39ee2cc4-41c4-424b-ba2e-9d627bb4ee2c,b51b3ebc-1c24-4efd-8020-60b6f42fdf8d,207R00000X,Primary,Internal Medicine,2018-06-29,9999-12-31
dab3e3a3-ab56-46bb-9a3f-34079067975b,df0d3f76-78c9-453f-b23a-d61d895a7b8a,208D00000X,Secondary,General Practice,2021-07-11,9999-12-31
8c44da34-441f-449f-857d-c70431be4434,85473c77-2574-44b8-b979-114e5107f22a,207Q00000X,Primary,Family Medicine,2016-05-14,9999-12-31
53cecd92-28f2-4364-acf6-d5933ce1b4d0,f5aa8ddf-9655-43aa-ab30-e0172eea0828,208VP0000X,Secondary,Psychiatry,2021-01-21,9999-12-31
5c55d7a5-15fb-4c69-a9c9-18fb412455f1,ecf652f9-46ca-497a-88e5-a2042b76f9a2,208C00000X,Secondary,Cardiology,2017-12-07,9999-12-31
11c0bc6f-3bef-4ca8-b7c9-8aeac9493f8c,58eab510-fcba-4b11-8292-ff57f85b240b,207Q00000X,Primary,Family Medicine,2018-11-06,9999-12-31
4911a07f-b051-4e54-a9f3-13157d3ea4b8,03d8303d-b678-4220-a8d7-f0d3863e9fe0,208VP0000X,Secondary,Psychiatry,2018-01-20,9999-12-31
533d78e5-e8e4-43cd-9ced-8811544d2910,80069fb2-8c38-42a5-8488-01f7b93bd013,207R00000X,Primary,Internal Medicine,2018-11-19,9999-12-31
45f99cd8-ba55-40c1-a9b2-db07fd659799,405e62cc-620e-482c-a26b-470e25687be3,207R00000X,Primary,Internal Medicine,2024-05-11,9999-12-31
fe7703ed-2e7e-4d58-8ba6-4a53c139a1f4,3bdec61b-b1d7-4f6d-bc5f-8a873bb6eced,208Z00000X,Secondary,Geriatric Medicine,2016-12-06,9999-12-31
0bc94c4f-bbb9-409f-8c43-d11c8495c19b,aebb84d3-5c79-4921-ae0a-4e6dd3fae96d,208C00000X,Secondary,Cardiology,2018-12-31,9999-12-31
1c1293b3-9340-476b-8791-e6c435be6dac,c4fe0c44-1ce7-431f-830b-0ffd5ef44067,207R00000X,Primary,Internal Medicine,2019-10-28,9999-12-31
