VisitModeID,ProviderID,LocationID,Acceptingnewpatients,VirtualCare,VisitMode
17794076-c191-49e6-acf6-e12f58af56f4,9cce144a-a1e2-4d09-b5c5-6af3c93c2ef3,167bb7b0-e9ee-492e-ada1-7d60fab3ba3d,Yes,No,In-person
34053c34-f101-46bb-a6c5-56e0e132d917,6de87d10-a676-40a6-8f74-fe5f86a68327,33b0430e-9bc8-43c8-907f-611829906882,Yes,No,Telehealth
affd52b2-7956-4eb4-bc31-8aa0d9ced0ab,b1f9f8b9-d074-4bde-9de1-56ee5f807ded,65505164-f173-4215-9e54-b82ebe8f18c9,No,Yes,In-person
db31e5a5-ec74-4e74-8acd-4be207b30434,22f83106-4e2d-4c64-8d94-af4b260aaa4f,49c2ed3d-004f-4ad8-a8b9-6af723074b57,Yes,No,Telehealth
0f79cb55-8785-418c-9d98-28a03150724b,70e78c27-6acc-4f4e-b68e-d6a19e4df317,153f4678-0591-471f-b758-48e139d0da4b,Yes,No,Telehealth
553dba22-e646-4d3e-8aa4-9760d1a08220,ec794cf5-db73-495c-b537-9f04a4838730,08a39d51-7bfc-4724-94fc-c457ea6efe58,No,No,Hybrid
96d999a0-2749-4d0e-a1e6-526e3e2b6547,0771df48-3857-48af-8640-516b3af6ef00,6783c1e6-d00b-4d42-9c97-66721404f85c,Yes,Yes,Telehealth
c3257b08-6a85-47ac-8184-f3e99c204c66,8b56088e-3c02-429e-b522-586325be2907,0457e113-2c74-46f7-9175-783d31226064,No,Yes,In-person
4b41a05c-0cac-4937-8000-e4f38fa30c81,0d3f7937-cc5a-4d6f-83b9-4e07cdc35479,3d2c241b-4abb-4808-9f70-93079132771f,Yes,Yes,In-person
dc6a09e8-80d2-49c4-a500-24392969dd57,d075e02a-594b-4d20-ad16-fb60423c3498,0192e1e2-3b90-4773-955b-9f3f5b2af722,Yes,No,Hybrid
89d9d057-68e7-4df8-a378-1b176e951b89,405cb933-321d-435a-92cf-3d95f160f3dc,48eddcb0-04c4-4e46-89d0-60cdc9569b6e,No,No,Hybrid
c42373f9-86bd-4320-a1ca-58e57e131b16,40993c5a-fcc2-4818-a7be-96b4b22239ec,5cbd6fe5-5f2f-464c-a1ee-31198f0918df,Yes,Yes,In-person
ad0be54e-25a5-45fb-aa70-c7fa2d2b82e3,b51b3ebc-1c24-4efd-8020-60b6f42fdf8d,8688fe2d-1cc0-4e45-8dbb-20f37e776bcd,No,Yes,Telehealth
39d43aa9-9c40-4856-9ef3-9cabbdb92c0f,df0d3f76-78c9-453f-b23a-d61d895a7b8a,af40cc44-3651-44a4-9e17-a4da971b677a,Yes,Yes,In-person
0bb2fdda-8fd2-4c52-8848-9558bf9f5903,85473c77-2574-44b8-b979-114e5107f22a,9234d60c-4b9e-4a23-9921-9210663a721b,No,Yes,Telehealth
97fc184f-c7c8-4260-b101-c56b0f073287,f5aa8ddf-9655-43aa-ab30-e0172eea0828,f55f3214-e4f8-4cbb-9b0d-be8a904f48ef,Yes,Yes,In-person
69b8bba8-5760-4f41-9a9d-05e0c0e897d7,ecf652f9-46ca-497a-88e5-a2042b76f9a2,def4105b-d653-4084-bce8-b7501ae454e5,No,No,In-person
e1cec0a1-f795-48e9-bda2-7730b7498100,58eab510-fcba-4b11-8292-ff57f85b240b,b66c4d5b-896e-498d-adb8-8e4e4037d848,Yes,No,Hybrid
7df3ea4b-8aa8-45f1-877b-360c92dc1893,03d8303d-b678-4220-a8d7-f0d3863e9fe0,b1fa416e-358c-4b34-800c-af86a793c255,No,Yes,Hybrid
db5e7deb-2498-47ef-a37d-fd1babeba5e0,80069fb2-8c38-42a5-8488-01f7b93bd013,c304b82b-74e9-4b9d-8857-42bdb1086c39,Yes,Yes,In-person
48fd603a-8808-48c7-b535-7a044106fe59,405e62cc-620e-482c-a26b-470e25687be3,fbbc1ada-f039-4851-ac93-1fea2784c1a7,Yes,No,Hybrid
2a01167b-f0f7-4719-a2ac-00fc189cbfef,3bdec61b-b1d7-4f6d-bc5f-8a873bb6eced,00a3a076-4c1f-4632-adf4-05cc848ba6f5,No,Yes,In-person
3eaa212c-1fbd-41b5-b72c-4acc442e6925,aebb84d3-5c79-4921-ae0a-4e6dd3fae96d,3807b911-c3ba-4967-b44d-d34eb3138ee9,Yes,Yes,Telehealth
bfb35051-eefa-4b88-89f8-d05b004bb9e4,c4fe0c44-1ce7-431f-830b-0ffd5ef44067,3ea30048-3727-4d14-9550-3e9fa84206c4,No,No,In-person
0d1f68dd-de9f-47bc-b0a8-03346eac273a,3a74387c-cade-4433-8bd3-157412b302a8,bfc4fe60-9d28-4a38-8092-15da3eca12ef,No,No,Telehealth
691d097f-c929-4b5a-9416-c9efa3aea3f7,e46571fe-07e4-45a6-893d-f07cd9dd9117,4d16a1c8-9a63-47d3-bbc7-dcda4ecd046e,Yes,Yes,In-person
888c6b01-0b1b-4177-891a-81b7bc1c0926,7ef37887-1877-4be9-86f2-c6fceca52d5a,9a89e8cc-7dd5-4c5e-a5e8-29a3a94a1455,No,Yes,Telehealth
a2c41be8-afb2-4203-bdd1-2c3097acbc7d,58983713-d051-4e41-98b9-1ad68d3d9522,2dab5fe3-4182-4a0f-a426-40d788fd9afb,Yes,Yes,Hybrid
953a5fe4-8363-4a60-8c4a-2cf918d8d987,a5bab3fc-694f-4dc5-85b1-05a5ad78a7af,2591d843-08eb-4e55-9dbf-daa5d4b2941f,No,No,Telehealth
bfd286df-e751-4d25-9937-1adbc5ce5ae7,2d8659ca-c760-4839-8ddd-4f7e25de2bc7,966f2560-1a3c-4c79-b198-b59516aeeb9a,Yes,Yes,Hybrid
63015b3a-baff-4bfd-8cef-e8c0803d22f6,58c398f7-0812-4e97-8a0b-bcfe1b5dbf21,15d3173a-8bc6-4fe2-92b9-817021f48ea6,Yes,Yes,In-person
50092e9a-c808-470d-b10e-faa676e898b5,520bc35d-cdd1-4007-b1af-7bd374e41250,b5ac4f95-9e5d-4b1b-a65b-69364db10412,No,Yes,Hybrid
cb45ecb5-7822-4dd1-968d-0716afc7cc43,61003682-6150-4367-9417-7b2cfdfbe9b8,fc04390d-51d0-47f0-88b6-28a440c1d841,No,No,Telehealth
46e51496-6247-4b00-a8b9-bcefed5c0171,796228d5-1e00-4e63-b294-a519bed89701,204dfcad-ae40-44c6-8d88-0ebea039432e,Yes,No,Hybrid
d9864d0e-6e1b-49b9-a3bd-19d84f2ce3e9,62451773-ac86-4ce6-a61d-3ace3ba77955,d83f1ebf-a719-487a-9a28-2a5b2a1d0211,Yes,Yes,Hybrid
d3c8bf1f-aafc-40ec-9263-0a9b09420e74,92f56086-f0c7-4792-b7ea-925d2657d2f6,696ad0bb-311e-4a8e-8a7f-a9c60e873192,Yes,No,Hybrid
517fee9b-4ea0-4336-ad6e-45d093c556fb,4cd5d6ac-e0ca-4945-a5e9-f2e3105bffa9,2693c7ae-628a-41c9-ae89-967f2de9cd1d,Yes,Yes,In-person
63872f12-9c41-41c2-8c4d-c8de73ef27f1,dd813dc4-1366-4aa3-ae19-8499e145c826,a18c5b05-f970-413d-9b7e-5cb27f3ca5b4,Yes,No,Hybrid
9a3047f3-dcf9-45f6-b683-835ca7f2860a,6a111c9f-f2c2-4e07-be66-8c8cad8ea67c,ec452d60-ff9e-4a8a-8738-9d4c2b19fef6,Yes,Yes,In-person
97f83f80-4920-4d2f-b0bf-4a2d5e0d4f8d,f5cf9a2c-f1ed-435f-97da-8d9713e2293b,7a41299b-6f93-40cb-b0e8-9bc7b1f6ea2e,No,Yes,Hybrid
8023936a-0bfc-45e5-96f0-44b37b0598d5,b0956c5b-d918-4445-94fa-3890e7f4aeac,98defdda-5ab8-4ae9-886d-069f6d4f929a,No,Yes,In-person
04f2b26d-bcc4-4e54-a02e-01050d3543ca,5effb935-5090-4af6-a276-6f49028efa7f,105f4c9f-42a7-4ca8-b64a-8d7f52f54d1c,No,No,Telehealth
126b730d-7be0-4432-92d9-06bcca8961ac,afbb8da0-1ad9-4e9b-8eb4-59c02959cc3f,c247e3fc-38d9-4aed-bcee-a3ae3a8caabf,Yes,Yes,Telehealth
c9710ec0-7d22-4d41-9668-e023a25ad529,88229580-f7e9-4e95-8add-135709284134,49af8cfa-d686-4fe4-82b3-48a4af5d6b90,Yes,Yes,Hybrid
af8e0ed1-5e63-4a5b-b7f0-f8d736d0b36a,b3ce6a89-ee48-4fd0-b4e5-a897d7fe4544,6b7e4b96-2249-4df3-9dfd-fbb81e006b96,No,No,Hybrid
957bbdeb-a439-4966-8d19-d801c3d39526,63e6f90b-6c5e-4228-83b8-c77f9db76e8c,90cee8d0-f2fb-41c4-96ab-a1e2dc16f698,No,Yes,Telehealth
94533110-0c89-44a5-a1fb-1cee0ab41144,b4ed3446-cb1e-472c-91a8-1749ec3b4891,4b096c47-b392-488b-8355-9e3b1e019cd6,Yes,Yes,Telehealth
a0f2c2c1-da89-4647-8cd8-8cb773828d4e,f30d824a-7137-4ceb-8e9e-db40ab2f349d,bd2fedeb-c27d-4171-b261-1c6ca3099552,Yes,No,Hybrid
fb5f3cee-95fe-413a-9da2-4910854b4ee3,fa4a3ba4-8f7c-4178-b69d-eb516023717d,b176017a-b85b-48e6-ab8e-759e98d02f96,No,No,In-person
f91b45a7-1d8d-4ef4-bc8b-e0cba55ec850,d2e1594a-3439-498b-8160-5e22c0316398,2e29bed1-12ae-40b3-9e31-4309bba0b087,No,Yes,Hybrid
18900db2-4826-4c33-9f77-2a7cdb4b6901,be65a248-e6b2-4e58-b809-3c57948d5a80,965d202e-3517-4405-825e-88d6ef2b9bb0,Yes,Yes,Telehealth
94bb08b5-3f9d-47f8-8b84-18e9cba8d397,36837759-3a72-46ef-a614-4dfa96ca523c,70d65e62-bfe4-44d9-80c7-886bef2c94fb,No,No,Hybrid
feb1d1c7-74db-4630-86e3-cf5c54365aae,7ced3223-39e9-4665-846d-a318da87ab19,b467db78-2e95-4788-8804-54179511d36b,No,No,Telehealth
5a575226-2a1c-4331-9bff-1a0a8db968dd,38407f8a-0d16-42f1-8a34-4c29cf9de508,63f85b30-5715-4383-a781-091cb7740f3d,Yes,No,In-person
4babd577-8124-465a-a0bf-496e0731a2ff,37c27e78-fad2-428b-864e-0018499a4697,829a56ca-0f44-4846-93f0-58b48b4bd733,Yes,No,Telehealth
01fa95b0-0586-4f6f-922d-eedaf5cb9258,ebb44c98-2f95-4fe7-8b6a-f91face14769,7607a0a9-34fe-4eaf-b8ac-2cf02b191c40,No,Yes,In-person
fc636695-7dd9-4c91-9afa-376618a2716e,011d7b5d-c89c-4fde-9c5d-fc1bf1ea87b9,e2e9c9e4-5d55-41ad-a5bb-8537947ef4c5,No,Yes,In-person
ed04534e-7829-4a76-963c-3721fbd280ea,e2899908-098d-452a-94be-6e2f38caa0bc,981db551-a04a-498e-ad36-990ce5440e84,No,Yes,In-person
d7687514-7beb-4548-9c2e-71d489cd846b,4aa85d29-41e8-47ea-97eb-71600e185ee5,a48f5ca2-3f5d-4903-a3b6-b227ce49bf7c,No,No,Hybrid
d5e95938-7a26-4243-873d-1cd6990f1884,14b842b1-8da0-407b-aa05-bcc4a1bc9d72,6124dbea-e6f6-4bff-a743-71ee43d6e38f,No,Yes,Telehealth
8125fd52-7db1-41d4-ba25-e4e9b653cdf8,7554c3ea-f22e-434b-8017-72f8ee6b8e23,5ba7eb64-9cbf-4274-9cd8-65e70e99655a,No,Yes,In-person
e479977c-7d2c-42cd-854b-b3164fb33dc1,a5df2d84-41bf-4028-8a8c-c8d45e266b6a,f94e1582-c49e-48c7-9bad-afd2b7e9c934,No,Yes,Telehealth
68fee02b-c7c6-4935-b5e3-925163d3ae00,34a96adf-668c-4569-a77f-8e1ca34dab28,8775831d-8978-42c1-bf1e-f680cbb12109,No,Yes,In-person
ef8b008a-d5f0-4715-892e-5dc60029de17,54103731-fb3d-4b97-b839-596c2f0c25a9,2645d3fc-c418-4bbc-9eff-8a2ec21f8f29,Yes,No,Hybrid
32ab8699-4904-417b-96c1-270d71f30ffe,5936c7c4-9c23-4a2e-8c91-32234e59f6b6,82a3ef85-2938-4927-bddb-4de1fa4708a1,No,Yes,Hybrid
9a205656-71a2-445e-a4ed-e3b70934ab03,3a94d889-00fa-476d-b70c-20047cfd251f,8d2fe18f-ef17-4c24-a126-5703a1422db9,Yes,No,Hybrid
5390449f-e2a7-44d7-bef8-c9fdc29617b7,aa979b99-077d-4dda-afaf-01c76d36a4cd,88e19fcb-fa2a-48b2-871a-07f4dad3a79a,No,Yes,Hybrid
276f470a-9f44-4986-a422-ddd6adc2f6eb,f4c2883a-a780-4540-9081-bb613d5f3016,7fcb0e7a-4e0a-4a34-9086-db5f390b7f86,Yes,Yes,In-person
91dd1147-fc43-417d-8815-4fae8b1b5757,f1a69259-1d65-4c0c-ae58-9422a6091ae7,21b18c1f-3c74-49ae-bda8-c32ffde8ca98,No,Yes,Hybrid
5de9e1df-9a46-4f19-9018-15116bb1e37d,d36a0892-ba61-40d3-a3cf-912ecb58ed55,a2e8b4f0-eda7-4cca-9b45-692490fc4b69,No,Yes,In-person
d52776ad-3118-485f-8b80-7372532783db,0198128f-da8c-4281-a7b9-a722de37368d,0d4a6f4e-d792-446e-a156-bba05ab1dbce,No,No,Hybrid
31dafa37-bdc2-40e3-b9f9-f9d26102cfbe,b5e0b7d5-751f-48f8-9d44-ab68d80a338b,9d8b0340-5cc8-4c2c-9dfd-a0de16ca0864,No,No,Hybrid
3e2ab300-d49d-40a6-b33c-5b4ccd14262b,d03275de-9296-442e-8b34-34d3bb5ddc7d,792b0782-ae6a-4e32-9b14-30089fd3491b,No,No,Hybrid
abad8458-a28d-475a-9565-fc2e33d8e2be,2a25c33b-675b-43f1-a48c-6362037563fd,776f59f0-c045-4e47-b237-fcba42a3659f,Yes,Yes,Hybrid
eacc15d2-c040-4977-9d7d-903db0c82af2,364ead85-392c-4378-94d9-c1f1964b4aff,7642cba3-b531-432b-bec3-3ceb640656b0,No,No,In-person
d70e4788-7649-45d5-93e4-d700e94c302f,3de6cced-f8b0-45ac-b037-9260238186c0,764e6ec7-e470-47e3-9c11-04091b257632,Yes,Yes,In-person
0836dff1-9705-4900-840a-1c17e93aab18,e30a1cf7-f0ca-44a5-bb4b-ef60a3a87d6d,be0b435b-1835-4ccd-aa18-a7957ec739cf,Yes,No,Telehealth
309ccba6-452c-4efa-b22d-74efb702390b,dc07e21c-7de9-4473-b863-0e76bdb4aad3,fcd48c70-9248-4de2-b19d-b6f8d94d3706,Yes,No,In-person
8f54062c-58d7-4a7c-81d9-11a0c5e079a5,63c1158c-6dd8-43b6-afa3-eeca8312126f,4e3a4ab0-b1ae-4c71-8096-0c23a80d69a3,Yes,No,Telehealth
edc0f251-c27d-48f6-a723-5b1c10880832,78d36cbe-4fd6-4af6-911d-a62ff72dfdad,d94f3de4-2430-4ee3-81f8-3b0988159322,Yes,No,In-person
e6afe317-c0fc-4b21-b9fe-b7ce7466eb09,905ea4e8-7d2b-49b9-8d76-2be6b9cf710e,a43285f5-c2ef-4d99-9b81-25fe7da63139,Yes,No,Hybrid
38b7dc90-97ac-435e-b57f-ff93502a6663,0e646161-1d19-4b8b-bbdd-dbc4af838eca,8c12465f-8ca6-462c-8cde-30ad1e704cc5,No,Yes,In-person
f5e3b70d-ec9d-4064-96c0-3bae14cddadf,b4441ba7-e9ea-4e4b-9ed1-d62f172bb394,220b8e10-54e1-4cd7-be74-ad6599d7d0df,No,Yes,Telehealth
6271ef07-199e-48ec-84f0-13a96de1da25,211885d8-efbf-47dd-8da8-b682ee071ad3,a16f3d8d-f302-4d68-beb4-40ee69e0029d,No,Yes,In-person
